1	N	22
2	H	91
3	C	11
4	H	91
5	C	11
6	H	91
7	H	91
8	C	11
9	H	91
10	C	11
11	H	91
12	H	91
13	H	91
14	C	11
15	H	91
16	H	91
17	H	91
18	C	14
19	O	31
20	N	22
21	H	91
22	C	11
23	H	91
24	C	11
25	H	91
26	H	91
27	C	11
28	H	91
29	C	11
30	H	91
31	H	91
32	H	91
33	C	11
34	H	91
35	H	91
36	H	91
37	C	14
38	O	31
39	N	22
40	H	91
41	C	11
42	H	91
43	C	11
44	H	91
45	H	91
46	C	11
47	H	91
48	C	11
49	H	91
50	H	91
51	H	91
52	C	11
53	H	91
54	H	91
55	H	91
56	C	14
57	O	31
58	N	22
59	H	91
60	C	11
61	H	91
62	C	11
63	H	91
64	H	91
65	C	11
66	H	91
67	C	11
68	H	91
69	H	91
70	H	91
71	C	11
72	H	91
73	H	91
74	H	91
75	C	14
76	O	31
77	N	22
78	C	11
79	H	91
80	C	11
81	H	91
82	H	91
83	C	11
84	H	91
85	H	91
86	C	11
87	H	91
88	H	91
89	C	14
90	O	31
91	N	22
92	H	91
93	C	11
94	H	91
95	C	11
96	H	91
97	H	91
98	C	16
99	C	16
100	H	91
101	C	16
102	H	91
103	C	16
104	O	31
105	C	11
106	H	91
107	H	91
108	H	91
109	C	16
110	H	91
111	C	16
112	H	91
113	C	14
114	O	31
